rates,durations,durationsFWHM,startTimes,amps,realStartTimes,jitter,cond,F0,F0quant,age,id,id2,T
0.787234042553192,2.94,NaN,1136,2.30867318545354,238.56,NaN,0,293.5350612497,261.495536956521,10,65,18,241.5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.270833333333333,7.14,3.78,23,1.38773333776552,4.83,0.706859772078008,0,270.4791835106,224.200049999999,10,65,20,315
0.916666666666667,4.62,5.25,66,2.45261787607999,13.86,1.00225620283307,0,270.4791835106,224.200049999999,10,65,20,315
0.833333333333333,3.57,3.99,197,2.40952844017145,41.37,0.387641859399548,0,270.4791835106,224.200049999999,10,65,20,315
0.333333333333333,3.99,4.83,378,1.54299342280573,79.38,0.826136899520396,0,270.4791835106,224.200049999999,10,65,20,315
0.75,3.57,4.2,846,2.09668638066772,177.66,0.41142896140551,0,270.4791835106,224.200049999999,10,65,20,315
0.666666666666667,7.14,NaN,967,2.09171954746771,203.07,NaN,0,270.4791835106,224.200049999999,10,65,20,315
0.625,1.89,3.99,997,2.28588672310425,209.37,1.0585610166164,0,270.4791835106,224.200049999999,10,65,20,315
0.958333333333333,3.99,4.62,1166,3.42826741011517,244.86,0.486909620990059,0,270.4791835106,224.200049999999,10,65,20,315
0.3125,7.35,3.99,1322,1.48955295778668,277.62,0.369047400574733,0,270.4791835106,224.200049999999,10,65,20,315
0.291666666666667,7.35,4.2,1401,1.48876138402379,294.21,0.583681356590472,0,270.4791835106,224.200049999999,10,65,20,315
0.354166666666667,7.35,4.41,1445,1.56772921278265,303.45,0.714825254439871,0,270.4791835106,224.200049999999,10,65,20,315
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.244444444444444,3.24,1.08,347,1.68287430999042,62.46,0.351914699954344,0,321.4568853153,326.591250980392,8,66,1,306
0.266666666666667,4.86,2.7,764,1.75535387822529,137.52,0.712287119900726,0,321.4568853153,326.591250980392,8,66,1,306
0.466666666666667,5.4,NaN,825,1.99177991644107,148.5,NaN,0,321.4568853153,326.591250980392,8,66,1,306
0.355555555555556,2.88,3.24,891,1.72717198980754,160.38,0.970213502474901,0,321.4568853153,326.591250980392,8,66,1,306
0.222222222222222,1.44,1.8,1286,1.63675272124393,231.48,0.449061521397681,0,321.4568853153,326.591250980392,8,66,1,306
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.347826086956522,5.58,2.7,323,1.83677243262778,58.14,0.570274751391942,0,289.5487103964,310.147460207612,8,66,2,306
0.217391304347826,3.96,1.98,731,1.73935938019496,131.58,0.360802676581773,0,289.5487103964,310.147460207612,8,66,2,306
0.239130434782609,5.58,2.52,1068,1.60585083957913,192.24,0.577649044242485,0,289.5487103964,310.147460207612,8,66,2,306
0.217391304347826,4.32,1.98,1218,1.63293398749922,219.24,0.39510435573792,0,289.5487103964,310.147460207612,8,66,2,306
0.782608695652174,1.98,2.34,1541,2.34320012439722,277.38,0.170668421969785,0,289.5487103964,310.147460207612,8,66,2,306
0.5,5.58,2.16,1571,2.4649358849092,282.78,0.663839312642728,0,289.5487103964,310.147460207612,8,66,2,306
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.217391304347826,4.32,3.42,52,1.75988727732708,9.36,1.12297381639453,0,301.4873697729,327.324608359131,8,66,3,306
0.260869565217391,5.4,NaN,422,1.80826763287185,75.96,NaN,0,301.4873697729,327.324608359131,8,66,3,306
0.282608695652174,5.4,NaN,1203,1.77925912340583,216.54,NaN,0,301.4873697729,327.324608359131,8,66,3,306
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.260869565217391,1.98,3.78,372,1.9045443367134,66.96,1.09799878065235,0,248.0821231542,265.329901384084,8,66,4,306
0.434782608695652,4.68,3.6,409,1.86563872384586,73.62,0.969563152906257,0,248.0821231542,265.329901384084,8,66,4,306
0.326086956521739,1.08,3.6,448,1.91722537029066,80.64,1.26862593569022,0,248.0821231542,265.329901384084,8,66,4,306
0.260869565217391,1.98,2.52,591,1.72285796094717,106.38,0.833528792504425,0,248.0821231542,265.329901384084,8,66,4,306
0.217391304347826,3.42,4.14,940,1.61211961721139,169.2,1.38205685198785,0,248.0821231542,265.329901384084,8,66,4,306
0.456521739130435,5.4,NaN,1037,1.96519279982664,186.66,NaN,0,248.0821231542,265.329901384084,8,66,4,306
0.391304347826087,3.6,3.6,1085,2.10365686852352,195.3,1.1428250950434,0,248.0821231542,265.329901384084,8,66,4,306
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.456521739130435,4.32,3.78,56,2.08646957110301,10.08,0.570653692723731,0,236.0606340866,249.779673374612,8,66,5,306
0.260869565217391,3.06,3.24,119,1.79477022795447,21.42,1.24185666176247,0,236.0606340866,249.779673374612,8,66,5,306
0.391304347826087,4.32,3.06,1012,2.13763081464394,182.16,0.405363950583217,0,236.0606340866,249.779673374612,8,66,5,306
0.347826086956522,2.7,3.78,1197,1.89711989080428,215.46,1.08878838069252,0,236.0606340866,249.779673374612,8,66,5,306
0.326086956521739,4.68,3.42,1632,1.85531388425889,293.76,0.818052274793814,0,236.0606340866,249.779673374612,8,66,5,306
