rates,durations,durationsFWHM,startTimes,amps,realStartTimes,jitter,cond,F0,F0quant,age,id,id2,T
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.244897959183673,9.18,4.32,92,0.0695278817727243,24.84,0.472324673568852,0,102.6281700497,111.575848567811,9,6,11,235.17
0.306122448979592,8.37,1.62,220,0.0746505680832389,59.4,0.192253454566198,0,102.6281700497,111.575848567811,9,6,11,235.17
0.795918367346939,12.15,5.13,255,0.185382453748715,68.85,0.477315802674315,0,102.6281700497,111.575848567811,9,6,11,235.17
0.693877551020408,12.15,5.4,365,0.166290533025316,98.55,0.652466547006063,0,102.6281700497,111.575848567811,9,6,11,235.17
0.326530612244898,12.15,6.75,499,0.101310468916617,134.73,1.30428479387341,0,102.6281700497,111.575848567811,9,6,11,235.17
0.755102040816326,12.15,5.67,700,0.147769562670581,189,0.860209074687028,0,102.6281700497,111.575848567811,9,6,11,235.17
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.523809523809524,10.208,5.632,56,0.123786987795615,19.712,0.370489767659238,0,144.3165851458,148.114125403226,9,10,2,352
0.825396825396825,13.024,18.656,198,0.179287394928165,69.696,2.04453592697604,0,144.3165851458,148.114125403226,9,10,2,352
0.857142857142857,14.08,7.04,247,0.237746386633482,86.944,0.915412444742705,0,144.3165851458,148.114125403226,9,10,2,352
0.619047619047619,13.024,7.04,392,0.163496638169408,137.984,0.954266459269159,0,144.3165851458,148.114125403226,9,10,2,352
0.285714285714286,9.856,5.28,518,0.0964235226851769,182.336,0.487833240536913,0,144.3165851458,148.114125403226,9,10,2,352
0.285714285714286,10.912,17.248,586,0.088839577108765,206.272,3.88521131057378,0,144.3165851458,148.114125403226,9,10,2,352
0.301587301587302,9.856,5.632,620,0.0992364703334645,218.24,0.348272325484545,0,144.3165851458,148.114125403226,9,10,2,352
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.327868852459016,9.152,3.872,42,0.0973133732876383,14.784,0.239798666373434,0,138.4131479155,152.388366269841,9,10,3,352
0.377049180327869,8.096,4.224,176,0.109583639031519,61.952,0.258248648905431,0,138.4131479155,152.388366269841,9,10,3,352
0.180327868852459,7.744,2.816,339,0.0783878696528681,119.328,0.210139908043144,0,138.4131479155,152.388366269841,9,10,3,352
0.311475409836066,8.8,14.784,392,0.0939665044360351,137.984,0.946801622952523,0,138.4131479155,152.388366269841,9,10,3,352
0.622950819672131,10.56,4.928,588,0.14371672232331,206.976,0.414399811046959,0,138.4131479155,152.388366269841,9,10,3,352
0.180327868852459,8.096,3.168,852,0.0716183230057157,299.904,0.384216774130129,0,138.4131479155,152.388366269841,9,10,3,352
0.852459016393443,17.248,NaN,951,0.17794270151237,334.752,NaN,0,138.4131479155,152.388366269841,9,10,3,352
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.254237288135593,10.208,4.576,34,0.0721461243932116,11.968,0.395763235212344,0,128.5538199125,144.27333219697,9,10,4,352
0.11864406779661,6.688,4.928,150,0.0645906184699156,52.8,0.498386237021981,0,128.5538199125,144.27333219697,9,10,4,352
0.491525423728814,10.56,4.928,171,0.118065866596658,60.192,0.293777115805173,0,128.5538199125,144.27333219697,9,10,4,352
0.254237288135593,9.856,4.576,313,0.0792954488616923,110.176,1.0942292438494,0,128.5538199125,144.27333219697,9,10,4,352
0.728813559322034,19.712,5.632,399,0.157473422249948,140.448,0.698126284622933,0,128.5538199125,144.27333219697,9,10,4,352
0.322033898305085,8.8,4.928,467,0.103761793438353,164.384,0.677379358016368,0,128.5538199125,144.27333219697,9,10,4,352
0.305084745762712,10.56,6.336,864,0.100322385877387,304.128,1.09838847631575,0,128.5538199125,144.27333219697,9,10,4,352
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.4,8.8,15.136,182,0.112722892197631,64.064,0.938860430262032,0,286.671188863,312.028226528852,9,10,8,158.4
0.3,8.096,3.872,255,0.0813602427598949,89.76,0.306549764530197,0,286.671188863,312.028226528852,9,10,8,158.4
0.82,8.8,4.576,316,0.146356274438911,111.232,0.278323427237507,0,286.671188863,312.028226528852,9,10,8,158.4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.363636363636364,9.504,14.432,4,0.114328622704368,1.408,1.40483213359632,0,275.9120699708,296.429269227419,9,10,9,313.28
0.236363636363636,8.448,3.52,126,0.0822642715567014,44.352,0.346559812591858,0,275.9120699708,296.429269227419,9,10,9,313.28
0.618181818181818,8.096,4.224,223,0.131066566717381,78.496,0.174537654546162,0,275.9120699708,296.429269227419,9,10,9,313.28
0.509090909090909,8.448,14.784,352,0.128841284342005,123.904,1.29503646226525,0,275.9120699708,296.429269227419,9,10,9,313.28
0.690909090909091,10.912,4.576,610,0.150994018456316,214.72,0.297082645748416,0,275.9120699708,296.429269227419,9,10,9,313.28
0.636363636363636,13.376,NaN,852,0.140680601214574,299.904,NaN,0,275.9120699708,296.429269227419,9,10,9,313.28
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.525423728813559,8.2,4.264,168,0.0974564285379333,55.104,0.283642988784832,0,214.0978087937,215.86542519685,10,11,1,328
